b	eng	b	B	O	O
介	v	jie	B	O	O
绍	v	shao	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O
4	m	4	S	O	O
.	m	.	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	x	T	S	O	O
：	x	：	S	O	O
3	m	3	B	O	O
5	m	5	I	O	O
.	m	.	I	O	O
6	m	6	E	O	O
C	eng	C	S	O	O
，	x	，	S	O	O
P	x	P	S	O	O
:	x	:	S	O	O
7	m	7	B	O	O
4	m	4	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
R	x	R	S	O	O
：	x	：	S	O	O
2	m	2	B	O	O
0	m	0	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
B	eng	B	B	O	O
p	eng	p	E	O	O
：	x	：	S	O	O
1	m	1	B	O	O
3	m	3	I	O	O
0	m	0	E	O	O
/	x	/	S	O	O
8	m	8	B	O	O
0	m	0	I	O	O
m	eng	m	I	O	O
m	eng	m	I	O	O
H	eng	H	I	O	O
g	eng	g	E	O	O
。	x	。	S	O	O
发	vn	fa	B	O	O
育	vn	yu	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
营	n	ying	B	O	O
养	n	yang	E	O	O
中	b	zhong	B	O	O
等	b	deng	E	O	O
，	x	，	S	O	O
神	n	shen	B	O	O
志	n	zhi	E	O	O
清	a	qing	B	O	O
楚	a	chu	E	O	O
，	x	，	S	O	O
步	n	bu	B	O	O
入	n	ru	E	O	O
病	n	bing	B	O	O
室	n	shi	E	O	O
，	x	，	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
合	vn	he	B	O	O
作	vn	zuo	E	O	O
。	x	。	S	O	O
结	n	jie	B	O	O
膜	n	mo	E	O	O
无	v	wu	S	O	O
苍	z	cang	B	O	SB
白	z	bai	E	O	SE
，	x	，	S	O	O
巩	n	gong	B	O	O
膜	n	mo	E	O	O
无	b	wu	S	O	O
黄	b	huang	B	SB	SB
染	n	ran	E	SE	SE
。	x	。	S	O	O
颈	ng	jing	B	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
抵	vn	di	B	O	O
抗	vn	kang	E	O	O
。	x	。	S	O	O
气	n	qi	B	O	O
管	n	guan	E	O	O
居	v	ju	B	O	O
中	v	zhong	E	O	O
，	x	，	S	O	O
甲	l	jia	B	O	O
状	l	zhuang	I	O	O
腺	l	xian	E	O	O
无	v	wu	S	O	O
肿	v	zhong	B	SB	SB
大	v	da	E	SE	SE
。	x	。	S	O	O
心	s	xin	B	O	O
前	s	qian	E	O	O
区	n	qu	S	O	O
无	v	wu	S	O	O
隆	v	long	B	SB	SB
起	v	qi	E	SE	SE
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
震	v	zhen	B	O	O
颤	v	zhan	E	O	O
，	x	，	S	O	O
叩	vg	kou	B	O	O
心	n	xin	I	O	O
界	n	jie	E	O	O
不	a	bu	B	O	O
大	a	da	E	O	O
，	x	，	S	O	O
心	n	xin	B	O	O
率	n	lv	E	O	O
7	m	7	B	O	O
4	m	4	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
律	nr	lv	B	O	O
齐	a	qi	E	O	O
，	x	，	S	O	O
各	r	ge	S	O	O
瓣	n	ban	B	O	O
膜	n	mo	E	O	O
听	v	ting	B	O	O
诊	v	zhen	E	O	O
区	n	qu	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
平	a	ping	B	O	O
坦	a	tan	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
胃	n	wei	B	O	O
肠	n	chang	E	O	O
型	k	xing	S	O	O
及	c	ji	S	O	O
蠕	v	ru	B	O	O
动	v	dong	E	O	O
波	j	bo	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	O	O
壁	n	bi	E	O	O
静	l	jing	B	SB	SB
脉	l	mai	I	SI	SI
曲	l	qu	I	SI	SI
张	l	zhang	E	SE	SE
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
包	n	bao	B	SB	O
块	n	kuai	E	SE	O
。	x	。	S	O	O
叩	vg	kou	B	O	O
鼓	n	gu	I	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
移	n	yi	B	O	O
动	n	dong	I	O	O
性	n	xing	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
亢	v	kang	B	O	O
进	v	jin	E	O	O
（	x	（	S	O	O
4	m	4	S	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
）	x	）	S	O	O
。	x	。	S	O	O
脊	n	ji	B	O	O
柱	n	zhu	E	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
自	r	zi	B	O	O
如	r	ru	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	n	ce	E	O	O
肱	n	gong	S	O	O
二	m	er	B	O	O
三	m	san	E	O	O
头	n	tou	S	O	O
肌	n	ji	B	O	O
及	c	ji	E	O	O
跟	p	gen	S	O	O
膝	n	xi	B	O	O
腱	n	jian	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
存	v	cun	B	O	O
在	v	zai	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
B	eng	B	B	O	O
a	eng	a	I	O	O
b	eng	b	I	O	O
i	eng	i	I	O	O
n	eng	n	I	O	O
s	eng	s	I	O	O
k	eng	k	I	O	O
i	eng	i	E	O	O
征	v	zheng	B	O	O
及	v	ji	E	O	O
克	q	ke	S	O	O
氏	n	shi	B	O	O
症	n	zheng	E	O	O
均	d	jun	S	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
5	x	5	S	O	O

专	n	zhuan	B	O	O
科	n	ke	E	O	O
情	n	qing	B	O	O
况	n	kuang	E	O	O
：	x	：	S	O	O
胸	n	xiong	B	O	O
廓	n	kuo	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
动	n	dong	B	O	O
度	n	du	E	O	O
两	f	liang	B	O	O
侧	f	ce	E	O	O
不	d	bu	S	O	O
一	d	yi	B	O	O
致	d	zhi	E	O	O
，	x	，	S	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
减	v	jian	B	O	O
弱	v	ruo	E	O	O
，	x	，	S	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
语	n	yu	B	O	O
颤	n	zhan	E	O	O
减	v	jian	B	O	O
弱	v	ruo	E	O	O
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
皮	n	pi	B	O	O
下	n	xia	E	O	O
捻	zg	nian	S	O	O
发	n	fa	B	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
叩	vg	kou	B	O	O
音	n	yin	E	O	O
清	a	qing	S	O	O
，	x	，	S	O	O
肺	n	fei	B	O	O
肝	n	gan	E	O	O
相	d	xiang	B	O	O
对	d	dui	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
界	n	jie	S	O	O
位	v	wei	B	O	O
于	v	yu	E	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
锁	n	suo	B	O	O
骨	n	gu	E	O	O
中	n	zhong	B	O	O
线	n	xian	E	O	O
第	m	di	S	O	O
5	m	5	S	O	O
肋	n	lei	B	O	O
间	n	jian	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	B	O	O
清	n	qing	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
干	a	gan	B	O	O
湿	a	shi	E	O	O
性	n	xing	B	O	O
罗	n	luo	I	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
，	x	，	S	O	O
胸	n	xiong	B	O	O
廓	n	kuo	E	O	O
挤	v	ji	B	O	O
压	v	ya	E	O	O
试	vn	shi	B	O	O
验	vn	yan	E	O	O
阳	n	yang	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
6	x	6	S	O	O

辅	vn	fu	B	O	O
助	vn	zhu	E	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
：	x	：	S	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
：	x	：	S	O	O
1	m	1	S	O	O
.	m	.	S	O	O
考	v	kao	B	O	O
虑	v	lv	E	O	O
右	n	you	B	DB	O
肺	n	fei	E	DI	O
挫	v	cuo	B	DI	O
伤	v	shang	E	DE	O
。	x	。	S	O	O
2	m	2	S	O	O
.	m	.	S	O	O
左	f	zuo	B	DB	O
肺	n	fei	E	DI	O
索	n	suo	B	DI	O
条	n	tiao	E	DE	O
3	m	3	S	O	O
.	m	.	S	O	O
左	f	zuo	B	DB	O
肺	n	fei	E	DI	O
上	t	shang	S	DI	O
叶	t	ye	B	DI	O
近	t	jin	E	DI	O
纵	v	zong	B	DI	O
隔	v	ge	E	DI	O
旁	f	pang	S	DI	O
透	v	tou	B	DI	O
明	v	ming	E	DI	O
影	vn	ying	S	DE	O
4	m	4	S	O	O
.	m	.	S	O	O
右	f	you	B	DB	O
侧	f	ce	E	DI	O
液	ng	ye	S	DI	O
气	n	qi	B	DI	O
胸	n	xiong	E	DE	O
5	m	5	S	O	O
.	m	.	S	O	O
右	f	you	B	DB	O
侧	f	ce	E	DI	O
多	m	duo	B	DI	O
发	m	fa	E	DI	O
肋	n	lei	B	DI	O
骨	n	gu	E	DI	O
骨	n	gu	B	DI	O
折	n	zhe	E	DE	O
，	x	，	S	O	O
右	f	you	B	DB	O
侧	f	ce	E	DI	O
胸	ng	xiong	S	DI	O
背	f	bei	B	DI	O
部	f	bu	E	DI	O
皮	n	pi	B	DI	O
下	n	xia	E	DI	O
气	n	qi	B	DI	O
肿	n	zhong	E	DE	O
6	m	6	S	O	O
.	m	.	S	O	O
考	v	kao	B	O	O
虑	v	lv	E	O	O
脂	n	zhi	B	DB	DB
肪	n	fang	I	DI	DI
肝	n	gan	E	DE	DE
7	m	7	S	O	O
.	m	.	S	O	O
副	b	fu	S	DB	O
脾	n	pi	S	DE	O
9	m	9	S	O	O
.	m	.	S	O	O
双	m	shuang	B	DB	O
肺	n	fei	E	DI	O
内	f	nei	B	DI	O
见	v	jian	E	DI	O
多	m	duo	B	DI	O
发	m	fa	E	DI	O
小	n	xiao	B	DI	O
叶	n	ye	E	DI	O
中	n	zhong	B	DI	O
心	n	xin	E	DI	O
结	n	jie	B	DI	O
节	n	jie	E	DE	O
2	m	2	S	O	O
.	m	.	S	O	O
心	n	xin	B	O	O
脏	n	zang	E	O	O
略	d	lve	B	O	O
大	a	da	E	O	O
，	x	，	S	O	O
冠	l	guan	B	O	O
状	l	zhuang	I	O	O
动	l	dong	I	O	O
脉	l	mai	E	O	O
见	v	jian	S	O	O
钙	v	gai	B	O	O
化	v	hua	E	O	O
。	x	。	S	O	O
胸	n	xiong	S	O	O
x	eng	x	S	O	O
片	n	pian	B	O	O
示	n	shi	E	O	O
：	x	：	S	O	O
1	m	1	S	O	O
.	m	.	S	O	O
右	f	you	B	DB	O
侧	f	ce	E	DI	O
液	ng	ye	S	DI	O
气	n	qi	B	DI	O
胸	n	xiong	E	DE	O
2	m	2	S	O	O
.	m	.	S	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
第	m	di	S	O	O
9	m	9	S	O	O
肋	n	lei	B	O	O
骨	n	gu	E	O	O
骨	n	gu	B	SB	O
折	n	zhe	E	SE	O
，	x	，	S	O	O
第	m	di	S	O	O
1	m	1	B	O	O
0	m	0	E	O	O
肋	n	lei	B	O	O
骨	n	gu	E	O	O
疑	v	yi	B	O	O
似	v	si	E	O	O
骨	n	gu	B	SB	O
折	n	zhe	E	SE	O
3	m	3	S	O	O
.	m	.	S	O	O
皮	n	pi	B	DB	O
下	n	xia	E	DI	O
气	n	qi	B	DI	O
肿	n	zhong	E	DE	O
。	x	。	S	O	O

1	m	1	S	O	O
.	m	.	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
男	n	nan	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
6	m	6	B	O	O
0	m	0	E	O	O
岁	m	sui	S	O	O
；	x	；	S	O	O
2	m	2	S	O	O
.	m	.	S	O	O
既	t	ji	B	O	O
往	t	wang	E	O	O
于	p	yu	S	O	O
1	m	1	B	O	O
9	m	9	I	O	O
7	m	7	I	O	O
6	m	6	E	O	O
年	m	nian	S	O	O
因	p	yin	B	O	O
右	f	you	E	O	O
胫	n	jing	B	O	O
骨	n	gu	E	O	O
骨	n	gu	B	O	SB
折	n	zhe	E	O	SE
行	zg	xing	S	O	O
手	n	shou	B	O	O
术	n	shu	E	O	O
治	v	zhi	B	O	O
疗	v	liao	E	O	O
（	x	（	S	O	O
具	a	ju	B	O	O
体	a	ti	E	O	O
不	v	bu	B	O	O
详	v	xiang	E	O	O
）	x	）	S	O	O
；	x	；	S	O	O
患	zg	huan	S	O	O
糖	n	tang	B	DB	DB
尿	n	niao	I	DI	DI
病	n	bing	E	DE	DE
2	m	2	B	O	O
0	m	0	E	O	O
年	m	nian	S	O	O
，	x	，	S	O	O
规	n	gui	B	O	O
律	n	lv	E	O	O
皮	l	pi	B	O	O
下	l	xia	I	O	O
注	l	zhu	I	O	O
射	l	she	E	O	O
胰	n	yi	B	O	O
岛	n	dao	I	O	O
素	n	su	E	O	O
治	v	zhi	B	O	O
疗	v	liao	E	O	O
，	x	，	S	O	O
血	n	xie	B	O	O
糖	n	tang	E	O	O
控	v	kong	B	O	O
制	v	zhi	E	O	O
尚	d	shang	B	O	O
可	d	ke	E	O	O
；	x	；	S	O	O
患	zg	huan	S	O	O
高	n	gao	B	DB	DB
血	n	xie	I	DI	DI
压	n	ya	I	DE	DE
病	n	bing	E	O	O
1	m	1	B	O	O
0	m	0	E	O	O
余	m	yu	B	O	O
年	m	nian	E	O	O
规	n	gui	B	O	O
律	n	lv	E	O	O
服	n	fu	B	O	O
药	n	yao	E	O	O
，	x	，	S	O	O
血	n	xie	B	O	O
压	n	ya	E	O	O
控	v	kong	B	O	O
制	v	zhi	E	O	O
尚	d	shang	B	O	O
可	d	ke	E	O	O
；	x	；	S	O	O
3	m	3	S	O	O
.	m	.	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
于	p	yu	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
前	f	qian	B	O	O
约	d	yue	E	O	O
1	m	1	B	O	O
0	m	0	E	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
交	n	jiao	B	O	O
通	n	tong	I	O	O
事	n	shi	I	O	O
故	n	gu	E	O	O
中	f	zhong	S	O	O
左	f	zuo	B	O	O
面	f	mian	E	O	O
侧	n	ce	B	O	O
额	n	e	I	O	O
部	n	bu	E	O	O
、	x	、	S	O	O
左	f	zuo	B	O	O
侧	f	ce	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
受	v	shou	S	O	O
撞	v	zhuang	B	O	O
击	v	ji	E	O	O
后	f	hou	S	O	O
疼	n	teng	B	SB	O
痛	n	tong	E	SE	O
，	x	，	S	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
及	c	ji	S	O	O
深	l	shen	B	O	O
呼	l	hu	I	O	O
吸	l	xi	E	O	O
时	n	shi	S	O	O
胸	n	xiong	B	SB	O
痛	n	tong	E	SE	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
伴	v	ban	B	O	O
有	v	you	E	O	O
胸	n	xiong	B	SB	O
闷	n	men	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
呼	l	hu	B	O	SB
吸	l	xi	I	O	SI
困	l	kun	I	O	SI
难	l	nan	E	O	SE
，	x	，	S	O	O
为	p	wei	B	O	O
行	n	xing	E	O	O
诊	v	zhen	B	O	O
治	v	zhi	E	O	O
来	n	lai	B	O	O
院	n	yuan	E	O	O
，	x	，	S	O	O
门	n	men	B	O	O
诊	n	zhen	E	O	O
经	vn	jing	B	O	O
查	vn	cha	E	O	O
体	n	ti	S	O	O
、	x	、	S	O	O
拍	n	pai	B	O	O
片	n	pian	E	O	O
后	f	hou	B	O	O
以	p	yi	E	O	O
左	f	zuo	B	DB	DB
侧	f	ce	E	DI	DI
肋	n	lei	B	DI	DI
骨	n	gu	E	DI	DI
骨	n	gu	B	DI	DI
折	n	zhe	E	DE	DE
收	v	shou	B	O	O
入	v	ru	E	O	O
我	r	wo	B	O	O
科	n	ke	E	O	O
。	x	。	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
自	p	zi	S	O	O
受	v	shou	B	O	O
伤	v	shang	E	O	O
后	f	hou	S	O	O
无	l	wu	B	O	O
意	l	yi	I	O	O
识	l	shi	E	O	O
障	n	zhang	B	O	O
碍	n	ai	E	O	O
，	x	，	S	O	O
无	m	wu	B	O	O
二	m	er	I	O	O
便	d	bian	E	O	O
失	v	shi	B	O	O
禁	v	jin	E	O	O
。	x	。	S	O	O
4	m	4	S	O	O
.	m	.	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
发	vn	fa	B	O	O
育	vn	yu	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
营	n	ying	B	O	O
养	n	yang	E	O	O
中	b	zhong	B	O	O
等	b	deng	E	O	O
，	x	，	S	O	O
自	v	zi	B	O	O
主	v	zhu	E	O	O
体	n	ti	B	O	O
位	n	wei	E	O	O
，	x	，	S	O	O
步	n	bu	B	O	O
入	n	ru	E	O	O
病	n	bing	B	O	O
房	n	fang	E	O	O
,	x	,	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
合	vn	he	B	O	O
作	vn	zuo	E	O	O
。	x	。	S	O	O
全	n	quan	B	O	O
身	n	shen	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
粘	n	zhan	B	O	O
膜	n	mo	E	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
黄	nr	huang	B	SB	SB
染	nr	ran	I	SE	SE
及	c	ji	E	O	O
斑	n	ban	S	SB	SB
丘	n	qiu	B	SI	SI
疹	n	zhen	E	SE	SE
，	x	，	S	O	O
浅	n	qian	B	O	O
表	n	biao	E	O	O
淋	n	lin	B	O	O
巴	n	ba	I	O	O
结	n	jie	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
肿	v	zhong	B	SB	SB
大	v	da	E	SE	SE
，	x	，	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
眼	n	yan	B	O	O
睑	n	jian	E	O	O
无	v	wu	S	O	O
水	n	shui	B	SB	SB
肿	n	zhong	E	SE	SE
，	x	，	S	O	O
睑	g	jian	S	O	O
结	n	jie	B	O	O
膜	n	mo	E	O	O
无	v	wu	S	O	O
苍	z	cang	B	SB	O
白	z	bai	E	SE	O
、	x	、	S	O	O
充	v	chong	B	SB	SB
血	v	xie	E	SE	SE
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
。	x	。	S	O	O
左	m	zuo	S	O	O
面	f	mian	B	O	O
部	f	bu	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	S	O	O
4	m	4	B	O	O
X	eng	X	I	O	O
3	eng	3	I	O	O
c	eng	c	I	O	O
m	eng	m	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
挫	v	cuo	B	O	SB
伤	v	shang	E	O	SE
，	x	，	S	O	O
外	n	wai	B	O	O
耳	n	er	I	O	O
道	n	dao	E	O	O
通	a	tong	B	O	O
畅	a	chang	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
分	n	fen	B	O	O
泌	n	mi	I	O	O
物	n	wu	E	O	O
，	x	，	S	O	O
听	n	ting	B	O	O
力	n	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
鼻	ng	bi	S	O	O
无	v	wu	S	O	O
畸	n	ji	B	O	SB
形	n	xing	E	O	SE
，	x	，	S	O	O
无	v	wu	S	O	O
鼻	n	bi	B	O	O
甲	n	jia	E	O	O
肥	a	fei	B	O	O
大	a	da	E	O	O
，	x	，	S	O	O
各	r	ge	S	O	O
鼻	n	bi	B	O	O
窦	n	dou	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
点	m	dian	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
。	x	。	S	O	O
口	n	kou	B	O	O
唇	n	chun	E	O	O
无	v	wu	S	O	O
苍	z	cang	B	SB	SB
白	z	bai	E	SE	SE
，	x	，	S	O	O
咽	v	yan	S	O	O
无	v	wu	S	O	O
充	v	chong	B	SB	SB
血	v	xie	E	SE	SE
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
扁	n	bian	B	O	O
桃	n	tao	I	O	O
腺	n	xian	E	O	O
不	d	bu	S	O	O
大	a	da	S	O	O
。	x	。	S	O	O
颈	ng	jing	S	O	O
左	m	zuo	B	O	O
右	m	you	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
，	x	，	S	O	O
软	a	ruan	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
抵	vn	di	B	O	O
抗	vn	kang	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
静	n	jing	B	O	O
脉	n	mai	E	O	O
怒	n	nu	S	SB	SB
张	n	zhang	B	SE	SE
及	c	ji	E	O	O
颈	n	jing	B	O	O
动	n	dong	I	O	O
脉	n	mai	E	O	O
异	d	yi	B	SB	SB
常	d	chang	E	SI	SI
搏	v	bo	B	SI	SI
动	v	dong	E	SE	SE
。	x	。	S	O	O
气	n	qi	B	O	O
管	n	guan	E	O	O
居	v	ju	B	O	O
中	v	zhong	E	O	O
，	x	，	S	O	O
甲	l	jia	B	O	O
状	l	zhuang	I	O	O
腺	l	xian	E	O	O
不	d	bu	S	O	O
大	a	da	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
血	n	xie	B	O	O
管	n	guan	E	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
胸	n	xiong	B	O	O
廓	n	kuo	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
动	n	dong	B	O	O
度	n	du	E	O	O
两	f	liang	B	O	O
侧	f	ce	E	O	O
均	a	jun	B	O	O
匀	a	yun	E	O	O
等	u	deng	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
增	v	zeng	B	O	O
强	v	qiang	E	O	O
及	c	ji	S	O	O
减	v	jian	B	O	O
弱	v	ruo	E	O	O
双	nr	shuang	B	O	O
侧	nr	ce	E	O	O
语	nr	yu	S	O	O
颤	v	zhan	S	O	O
无	v	wu	S	O	O
增	v	zeng	B	O	O
强	v	qiang	E	O	O
及	c	ji	S	O	O
减	v	jian	B	O	O
弱	v	ruo	E	O	O
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
皮	n	pi	B	O	O
下	n	xia	E	O	O
捻	zg	nian	S	O	O
发	n	fa	B	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
叩	vg	kou	B	O	O
音	n	yin	E	O	O
清	a	qing	S	O	O
，	x	，	S	O	O
肺	n	fei	B	O	O
肝	n	gan	E	O	O
相	d	xiang	B	O	O
对	d	dui	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
界	n	jie	S	O	O
位	v	wei	B	O	O
于	v	yu	E	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
锁	n	suo	B	O	O
骨	n	gu	E	O	O
中	n	zhong	B	O	O
线	n	xian	E	O	O
第	m	di	S	O	O
5	m	5	S	O	O
肋	n	lei	B	O	O
间	n	jian	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	B	O	O
清	n	qing	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
干	a	gan	B	O	O
湿	a	shi	E	O	O
性	n	xing	B	O	O
罗	n	luo	I	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
心	s	xin	B	O	O
前	s	qian	E	O	O
区	n	qu	S	O	O
无	v	wu	S	O	O
隆	v	long	B	SB	SB
起	v	qi	E	SE	SE
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
震	v	zhen	B	O	O
颤	v	zhan	E	O	O
，	x	，	S	O	O
叩	vg	kou	B	O	O
心	n	xin	I	O	O
界	n	jie	E	O	O
不	a	bu	B	O	O
大	a	da	E	O	O
，	x	，	S	O	O
心	n	xin	B	O	O
率	n	lv	E	O	O
8	m	8	B	O	O
8	m	8	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
律	nr	lv	B	O	O
齐	a	qi	E	O	O
，	x	，	S	O	O
各	r	ge	S	O	O
瓣	n	ban	B	O	O
膜	n	mo	E	O	O
听	v	ting	B	O	O
诊	v	zhen	E	O	O
区	n	qu	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
腹	n	fu	B	O	O
