b	b	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
于	yu	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
中	zhong	O	O
心	xin	O	O
医	yi	O	O
院	yuan	O	O
就	jiu	O	O
诊	zhen	O	O
，	，	O	O
行	xing	O	O
C	C	O	O
T	T	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
1	1	O	O
.	.	O	O
考	kao	O	O
虑	lv	O	O
右	you	DB	O
肺	fei	DI	O
挫	cuo	DI	O
伤	shang	DE	O
。	。	O	O
2	2	O	O
.	.	O	O
左	zuo	DB	O
肺	fei	DI	O
索	suo	DI	O
条	tiao	DE	O
3	3	O	O
.	.	O	O
左	zuo	DB	O
肺	fei	DI	O
上	shang	DI	O
叶	ye	DI	O
近	jin	DI	O
纵	zong	DI	O
隔	ge	DI	O
旁	pang	DI	O
透	tou	DI	O
明	ming	DI	O
影	ying	DE	O
4	4	O	O
.	.	O	O
右	you	DB	O
侧	ce	DI	O
液	ye	DI	O
气	qi	DI	O
胸	xiong	DE	O
5	5	O	O
.	.	O	O
右	you	DB	O
侧	ce	DI	O
多	duo	DI	O
发	fa	DI	O
肋	lei	DI	O
骨	gu	DI	O
骨	gu	DI	O
折	zhe	DE	O
，	，	O	O
右	you	DB	O
侧	ce	DI	O
胸	xiong	DI	O
背	bei	DI	O
部	bu	DI	O
皮	pi	DI	O
下	xia	DI	O
气	qi	DI	O
肿	zhong	DE	O
6	6	O	O
.	.	O	O
考	kao	O	O
虑	lv	O	O
脂	zhi	DB	DB
肪	fang	DI	DI
肝	gan	DE	DE
7	7	O	O
.	.	O	O
副	fu	DB	O
脾	pi	DE	O
9	9	O	O
.	.	O	O
双	shuang	O	O
肺	fei	O	O
内	nei	O	O
见	jian	O	O
多	duo	O	O
发	fa	O	O
小	xiao	O	O
叶	ye	O	O
中	zhong	O	O
心	xin	O	O
结	jie	O	O
节	jie	O	O
2	2	O	O
.	.	O	O
心	xin	O	O
脏	zang	O	O
略	lve	O	O
大	da	O	O
，	，	O	O
冠	guan	DB	O
状	zhuang	DI	O
动	dong	DI	O
脉	mai	DI	O
见	jian	DI	O
钙	gai	DI	O
化	hua	DE	O
。	。	O	O
胸	xiong	O	O
部	bu	O	O
x	x	O	O
片	pian	O	O
示	shi	O	O
：	：	O	O
1	1	O	O
.	.	O	O
右	you	DB	O
侧	ce	DI	O
液	ye	DI	O
气	qi	DI	O
胸	xiong	DE	O
2	2	O	O
.	.	O	O
右	you	DB	O
侧	ce	DI	O
第	di	DI	O
9	9	DI	O
肋	lei	DI	O
骨	gu	DI	O
骨	gu	DI	O
折	zhe	DE	O
，	，	O	O
第	di	O	O
1	1	O	O
0	0	O	O
肋	lei	O	O
骨	gu	O	O
疑	yi	O	O
似	si	O	O
骨	gu	SB	O
折	zhe	SE	O
3	3	O	O
.	.	O	O
皮	pi	DB	O
下	xia	DI	O
气	qi	DI	O
肿	zhong	DE	O
。	。	O	O
给	gei	O	O
予	yu	O	O
口	kou	O	O
服	fu	O	O
药	yao	O	O
物	wu	O	O
对	dui	O	O
症	zheng	O	O
治	zhi	O	O
疗	liao	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
生	sheng	O	O
命	ming	O	O
体	ti	O	O
征	zheng	O	O
平	ping	O	O
稳	wen	O	O
。	。	O	O
今	jin	O	O
日	ri	O	O
来	lai	O	O
我	wo	O	O
院	yuan	O	O
就	jiu	O	O
诊	zhen	O	O
，	，	O	O
为	wei	O	O
进	jin	O	O
一	yi	O	O
步	bu	O	O
治	zhi	O	O
疗	liao	O	O
，	，	O	O
急	ji	O	O
诊	zhen	O	O
以	yi	O	O
肋	lei	DB	DB
骨	gu	DI	DI
骨	gu	DI	DI
折	zhe	DI	DE
合	he	DI	O
并	bing	DI	O
液	ye	DI	O
气	qi	DI	O
胸	xiong	DE	O
介	jie	O	O
绍	shao	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O
4	4	O	O
.	.	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
T	T	O	O
：	：	O	O
3	3	O	O
5	5	O	O
.	.	O	O
6	6	O	O
C	C	O	O
，	，	O	O
P	P	O	O
:	:	O	O
7	7	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
R	R	O	O
：	：	O	O
2	2	O	O
0	0	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
B	B	O	O
p	p	O	O
：	：	O	O
1	1	O	O
3	3	O	O
0	0	O	O
/	/	O	O
8	8	O	O
0	0	O	O
m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
。	。	O	O
发	fa	O	O
育	yu	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
营	ying	O	O
养	yang	O	O
中	zhong	O	O
等	deng	O	O
，	，	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
楚	chu	O	O
，	，	O	O
步	bu	O	O
入	ru	O	O
病	bing	O	O
室	shi	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
结	jie	O	O
膜	mo	O	O
无	wu	O	O
苍	cang	O	SB
白	bai	O	SE
，	，	O	O
巩	gong	O	O
膜	mo	O	O
无	wu	O	O
黄	huang	SB	SB
染	ran	SE	SE
。	。	O	O
颈	jing	O	O
软	ruan	O	O
，	，	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
。	。	O	O
气	qi	O	O
管	guan	O	O
居	ju	O	O
中	zhong	O	O
，	，	O	O
甲	jia	O	O
状	zhuang	O	O
腺	xian	O	O
无	wu	O	O
肿	zhong	SB	SB
大	da	SE	SE
。	。	O	O
心	xin	O	O
前	qian	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
震	zhen	O	O
颤	zhan	O	O
，	，	O	O
叩	kou	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
7	7	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	SB	SB
脉	mai	SI	SI
曲	qu	SI	SI
张	zhang	SE	SE
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	SB	O
块	kuai	SE	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
（	（	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
）	）	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
活	huo	O	O
动	dong	O	O
自	zi	O	O
如	ru	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肱	gong	O	O
二	er	O	O
三	san	O	O
头	tou	O	O
肌	ji	O	O
及	ji	O	O
跟	gen	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
存	cun	O	O
在	zai	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
B	B	O	O
a	a	O	O
b	b	O	O
i	i	O	O
n	n	O	O
s	s	O	O
k	k	O	O
i	i	O	O
征	zheng	O	O
及	ji	O	O
克	ke	O	O
氏	shi	O	O
症	zheng	O	O
均	jun	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
5	5	O	O

专	zhuan	O	O
科	ke	O	O
情	qing	O	O
况	kuang	O	O
：	：	O	O
胸	xiong	O	O
廓	kuo	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
呼	hu	O	O
吸	xi	O	O
动	dong	O	O
度	du	O	O
两	liang	O	O
侧	ce	O	O
不	bu	O	O
一	yi	O	O
致	zhi	O	O
，	，	O	O
右	you	O	O
侧	ce	O	O
减	jian	O	O
弱	ruo	O	O
，	，	O	O
右	you	O	O
侧	ce	O	O
语	yu	O	O
颤	zhan	O	O
减	jian	O	O
弱	ruo	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
皮	pi	O	O
下	xia	O	O
捻	nian	O	O
发	fa	O	O
音	yin	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
叩	kou	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
肺	fei	O	O
肝	gan	O	O
相	xiang	O	O
对	dui	O	O
浊	zhuo	O	O
音	yin	O	O
界	jie	O	O
位	wei	O	O
于	yu	O	O
右	you	O	O
侧	ce	O	O
锁	suo	O	O
骨	gu	O	O
中	zhong	O	O
线	xian	O	O
第	di	O	O
5	5	O	O
肋	lei	O	O
间	jian	O	O
。	。	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
胸	xiong	O	O
部	bu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
皮	pi	O	O
肤	fu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
，	，	O	O
胸	xiong	O	O
廓	kuo	O	O
挤	ji	O	O
压	ya	O	O
试	shi	O	O
验	yan	O	O
阳	yang	O	O
性	xing	O	O
。	。	O	O
6	6	O	O

辅	fu	O	O
助	zhu	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
C	C	O	O
T	T	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
1	1	O	O
.	.	O	O
考	kao	O	O
虑	lv	O	O
右	you	DB	O
肺	fei	DI	O
挫	cuo	DI	O
伤	shang	DE	O
。	。	O	O
2	2	O	O
.	.	O	O
左	zuo	DB	O
肺	fei	DI	O
索	suo	DI	O
条	tiao	DE	O
3	3	O	O
.	.	O	O
左	zuo	DB	O
肺	fei	DI	O
上	shang	DI	O
叶	ye	DI	O
近	jin	DI	O
纵	zong	DI	O
隔	ge	DI	O
旁	pang	DI	O
透	tou	DI	O
明	ming	DI	O
影	ying	DE	O
4	4	O	O
.	.	O	O
右	you	DB	O
侧	ce	DI	O
液	ye	DI	O
气	qi	DI	O
胸	xiong	DE	O
5	5	O	O
.	.	O	O
右	you	DB	O
侧	ce	DI	O
多	duo	DI	O
发	fa	DI	O
肋	lei	DI	O
骨	gu	DI	O
骨	gu	DI	O
折	zhe	DE	O
，	，	O	O
右	you	DB	O
侧	ce	DI	O
胸	xiong	DI	O
背	bei	DI	O
部	bu	DI	O
皮	pi	DI	O
下	xia	DI	O
气	qi	DI	O
肿	zhong	DE	O
6	6	O	O
.	.	O	O
考	kao	O	O
虑	lv	O	O
脂	zhi	DB	DB
肪	fang	DI	DI
肝	gan	DE	DE
7	7	O	O
.	.	O	O
副	fu	DB	O
脾	pi	DE	O
9	9	O	O
.	.	O	O
双	shuang	DB	O
肺	fei	DI	O
内	nei	DI	O
见	jian	DI	O
多	duo	DI	O
发	fa	DI	O
小	xiao	DI	O
叶	ye	DI	O
中	zhong	DI	O
心	xin	DI	O
结	jie	DI	O
节	jie	DE	O
2	2	O	O
.	.	O	O
心	xin	O	O
脏	zang	O	O
略	lve	O	O
大	da	O	O
，	，	O	O
冠	guan	O	O
状	zhuang	O	O
动	dong	O	O
脉	mai	O	O
见	jian	O	O
钙	gai	O	O
化	hua	O	O
。	。	O	O
胸	xiong	O	O
x	x	O	O
片	pian	O	O
示	shi	O	O
：	：	O	O
1	1	O	O
.	.	O	O
右	you	DB	O
侧	ce	DI	O
液	ye	DI	O
气	qi	DI	O
胸	xiong	DE	O
2	2	O	O
.	.	O	O
右	you	O	O
侧	ce	O	O
第	di	O	O
9	9	O	O
肋	lei	O	O
骨	gu	O	O
骨	gu	SB	O
折	zhe	SE	O
，	，	O	O
第	di	O	O
1	1	O	O
0	0	O	O
肋	lei	O	O
骨	gu	O	O
疑	yi	O	O
似	si	O	O
骨	gu	SB	O
折	zhe	SE	O
3	3	O	O
.	.	O	O
皮	pi	DB	O
下	xia	DI	O
气	qi	DI	O
肿	zhong	DE	O
。	。	O	O

1	1	O	O
.	.	O	O
患	huan	O	O
者	zhe	O	O
男	nan	O	O
性	xing	O	O
，	，	O	O
6	6	O	O
0	0	O	O
岁	sui	O	O
；	；	O	O
2	2	O	O
.	.	O	O
既	ji	O	O
往	wang	O	O
于	yu	O	O
1	1	O	O
9	9	O	O
7	7	O	O
6	6	O	O
年	nian	O	O
因	yin	O	O
右	you	O	O
胫	jing	O	O
骨	gu	O	O
骨	gu	O	SB
折	zhe	O	SE
行	xing	O	O
手	shou	O	O
术	shu	O	O
治	zhi	O	O
疗	liao	O	O
（	（	O	O
具	ju	O	O
体	ti	O	O
不	bu	O	O
详	xiang	O	O
）	）	O	O
；	；	O	O
患	huan	O	O
糖	tang	DB	DB
尿	niao	DI	DI
病	bing	DE	DE
2	2	O	O
0	0	O	O
年	nian	O	O
，	，	O	O
规	gui	O	O
律	lv	O	O
皮	pi	O	O
下	xia	O	O
注	zhu	O	O
射	she	O	O
胰	yi	O	O
岛	dao	O	O
素	su	O	O
治	zhi	O	O
疗	liao	O	O
，	，	O	O
血	xie	O	O
糖	tang	O	O
控	kong	O	O
制	zhi	O	O
尚	shang	O	O
可	ke	O	O
；	；	O	O
患	huan	O	O
高	gao	DB	DB
血	xie	DI	DI
压	ya	DE	DE
病	bing	O	O
1	1	O	O
0	0	O	O
余	yu	O	O
年	nian	O	O
规	gui	O	O
律	lv	O	O
服	fu	O	O
药	yao	O	O
，	，	O	O
血	xie	O	O
压	ya	O	O
控	kong	O	O
制	zhi	O	O
尚	shang	O	O
可	ke	O	O
；	；	O	O
3	3	O	O
.	.	O	O
患	huan	O	O
者	zhe	O	O
于	yu	O	O
入	ru	O	O
院	yuan	O	O
前	qian	O	O
约	yue	O	O
1	1	O	O
0	0	O	O
小	xiao	O	O
时	shi	O	O
交	jiao	O	O
通	tong	O	O
事	shi	O	O
故	gu	O	O
中	zhong	O	O
左	zuo	O	O
面	mian	O	O
侧	ce	O	O
额	e	O	O
部	bu	O	O
、	、	O	O
左	zuo	O	O
侧	ce	O	O
胸	xiong	O	O
部	bu	O	O
受	shou	O	O
撞	zhuang	O	O
击	ji	O	O
后	hou	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
活	huo	O	O
动	dong	O	O
及	ji	O	O
深	shen	O	O
呼	hu	O	O
吸	xi	O	O
时	shi	O	O
胸	xiong	SB	O
痛	tong	SE	O
明	ming	O	O
显	xian	O	O
，	，	O	O
伴	ban	O	O
有	you	O	O
胸	xiong	SB	SB
闷	men	SE	SE
，	，	O	O
无	wu	O	O
呼	hu	O	O
吸	xi	O	O
困	kun	O	O
难	nan	O	O
，	，	O	O
为	wei	O	O
行	xing	O	O
诊	zhen	O	O
治	zhi	O	O
来	lai	O	O
院	yuan	O	O
，	，	O	O
门	men	O	O
诊	zhen	O	O
经	jing	O	O
查	cha	O	O
体	ti	O	O
、	、	O	O
拍	pai	O	O
片	pian	O	O
后	hou	O	O
以	yi	O	O
左	zuo	DB	DB
侧	ce	DI	DI
肋	lei	DI	DI
骨	gu	DI	DI
骨	gu	DI	DI
折	zhe	DE	DE
收	shou	O	O
入	ru	O	O
我	wo	O	O
科	ke	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
自	zi	O	O
受	shou	O	O
伤	shang	O	O
后	hou	O	O
无	wu	O	O
意	yi	O	O
识	shi	O	O
障	zhang	O	O
碍	ai	O	O
，	，	O	O
无	wu	O	O
二	er	O	O
便	bian	O	O
失	shi	O	O
禁	jin	O	O
。	。	O	O
4	4	O	O
.	.	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
发	fa	O	O
育	yu	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
营	ying	O	O
养	yang	O	O
中	zhong	O	O
等	deng	O	O
，	，	O	O
自	zi	O	O
主	zhu	O	O
体	ti	O	O
位	wei	O	O
，	，	O	O
步	bu	O	O
入	ru	O	O
病	bing	O	O
房	fang	O	O
,	,	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
全	quan	O	O
身	shen	O	O
皮	pi	O	O
肤	fu	O	O
粘	zhan	O	O
膜	mo	O	O
未	wei	O	O
见	jian	O	O
黄	huang	SB	SB
染	ran	SE	SE
及	ji	O	O
斑	ban	SB	SB
丘	qiu	SI	SI
疹	zhen	SE	SE
，	，	O	O
浅	qian	O	O
表	biao	O	O
淋	lin	O	O
巴	ba	O	O
结	jie	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
大	da	SE	SE
，	，	O	O
头	tou	O	O
颅	lu	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
眼	yan	O	O
睑	jian	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
，	，	O	O
睑	jian	O	O
结	jie	O	O
膜	mo	O	O
无	wu	O	O
苍	cang	SB	O
白	bai	SE	O
、	、	O	O
充	chong	SB	SB
血	xie	SE	SE
。	。	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
左	zuo	O	O
面	mian	O	O
部	bu	O	O
可	ke	O	O
见	jian	O	O
一	yi	O	O
4	4	O	O
X	X	O	O
3	3	O	O
c	c	O	O
m	m	O	O
皮	pi	O	O
肤	fu	O	O
挫	cuo	O	SB
伤	shang	O	SE
，	，	O	O
外	wai	O	O
耳	er	O	O
道	dao	O	O
通	tong	O	O
畅	chang	O	O
，	，	O	O
无	wu	O	O
分	fen	O	O
泌	mi	O	O
物	wu	O	O
，	，	O	O
听	ting	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
鼻	bi	O	O
无	wu	O	O
畸	ji	O	SB
形	xing	O	SE
，	，	O	O
无	wu	O	O
鼻	bi	O	O
甲	jia	O	O
肥	fei	O	O
大	da	O	O
，	，	O	O
各	ge	O	O
鼻	bi	O	O
窦	dou	O	O
压	ya	O	O
痛	tong	O	O
点	dian	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
口	kou	O	O
唇	chun	O	O
无	wu	O	O
苍	cang	SB	SB
白	bai	SE	SE
，	，	O	O
咽	yan	O	O
无	wu	O	O
充	chong	SB	SB
血	xie	SE	SE
，	，	O	O
双	shuang	O	O
侧	ce	O	O
扁	bian	O	O
桃	tao	O	O
腺	xian	O	O
不	bu	O	O
大	da	O	O
。	。	O	O
颈	jing	O	O
左	zuo	O	O
右	you	O	O
对	dui	O	O
称	cheng	O	O
，	，	O	O
软	ruan	O	O
，	，	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
，	，	O	O
无	wu	O	O
静	jing	O	O
脉	mai	O	O
怒	nu	SB	SB
张	zhang	SE	SE
及	ji	O	O
颈	jing	O	O
动	dong	O	O
脉	mai	O	O
异	yi	SB	SB
常	chang	SI	SI
搏	bo	SI	SI
动	dong	SE	SE
。	。	O	O
气	qi	O	O
管	guan	O	O
居	ju	O	O
中	zhong	O	O
，	，	O	O
甲	jia	O	O
状	zhuang	O	O
腺	xian	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
血	xie	O	O
管	guan	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
胸	xiong	O	O
廓	kuo	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
呼	hu	O	O
吸	xi	O	O
动	dong	O	O
度	du	O	O
两	liang	O	O
侧	ce	O	O
均	jun	O	O
匀	yun	O	O
等	deng	O	O
，	，	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
双	shuang	O	O
侧	ce	O	O
语	yu	O	O
颤	zhan	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
皮	pi	O	O
下	xia	O	O
捻	nian	O	O
发	fa	O	O
音	yin	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
叩	kou	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
肺	fei	O	O
肝	gan	O	O
相	xiang	O	O
对	dui	O	O
浊	zhuo	O	O
音	yin	O	O
界	jie	O	O
位	wei	O	O
于	yu	O	O
右	you	O	O
侧	ce	O	O
锁	suo	O	O
骨	gu	O	O
中	zhong	O	O
线	xian	O	O
第	di	O	O
5	5	O	O
肋	lei	O	O
间	jian	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
前	qian	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
震	zhen	O	O
颤	zhan	O	O
，	，	O	O
叩	kou	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
8	8	O	O
8	8	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	SB	SB
脉	mai	SI	SI
曲	qu	SI	SI
张	zhang	SE	SE
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
肝	gan	O	O
脾	pi	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
大	da	SE	SE
，	，	O	O
腹	fu	O	O
部	bu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	SB	O
块	kuai	SE	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
（	（	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
肛	gang	O	O
门	men	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	O	SB
形	xing	O	SE
，	，	O	O
活	huo	O	O
动	dong	O	O
自	zi	O	O
如	ru	O	O
，	，	O	O
双	shuang	O	O
下	xia	O	O
肢	zhi	O	O
无	wu	O	O
水	shui	O	SB
肿	zhong	O	SE
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肱	gong	O	O
二	er	O	O
、	、	O	O
三	san	O	O
头	tou	O	O
肌	ji	O	O
反	fan	O	O
射	she	O	O
、	、	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
巴	ba	O	O
彬	bin	O	O
斯	si	O	O
基	ji	O	O
氏	shi	O	O
征	zheng	O	O
、	、	O	O
克	ke	O	O
尼	ni	O	O
格	ge	O	O
氏	shi	O	O
征	zheng	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
专	zhuan	O	O
科	ke	O	O
情	qing	O	O
况	kuang	O	O
：	：	O	O
左	zuo	O	O
侧	ce	O	O
胸	xiong	O	O
部	bu	O	O
触	chu	O	O
痛	tong	O	O
明	ming	O	O
显	xian	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
腹	fu	O	O
软	ruan	O	O
、	、	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
，	，	O	O
肢	zhi	O	O
体	ti	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
5	5	O	O
.	.	O	O
辅	fu	O	O
助	zhu	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
胸	xiong	O	O
部	bu	O	O
C	C	O	O
T	T	O	O
+	+	O	O
肋	lei	O	O
骨	gu	O	O
重	zhong	O	O
建	jian	O	O
提	ti	O	O
示	shi	O	O
:	:	O	O
右	you	DB	O
肺	fei	DI	O
中	zhong	DI	O
叶	ye	DI	O
炎	yan	DI	O
症	zheng	DE	O
；	；	O	O
纵	zong	O	O
膈	ge	O	O
淋	lin	O	O
巴	ba	O	O
结	jie	O	O
增	zeng	O	O
大	da	O	O
；	；	O	O
主	zhu	DB	O
动	dong	DI	O
脉	mai	DI	O
硬	ying	DI	O
化	hua	DE	O
；	；	O	O
左	zuo	DB	O
侧	ce	DI	O
第	di	DI	O
2	2	DI	O
、	、	DI	O
3	3	DI	O
、	、	DI	O
4	4	DI	O
肋	lei	DI	O
骨	gu	DI	O
骨	gu	DI	SB
折	zhe	DE	SE
（	（	O	O
C	C	O	O
T	T	O	O
号	hao	O	O
：	：	O	O
0	0	O	O
1	1	O	O
5	5	O	O
8	8	O	O
8	8	O	O
0	0	O	O
）	）	O	O
