b	b	B	O	O
性	xing	E	O	O
，	，	S	O	O
关	guan	B	O	O
节	jie	E	O	O
内	nei	B	O	O
侧	ce	E	O	O
轻	qing	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
无	wu	S	O	O
放	fang	B	O	O
射	she	E	O	O
；	；	S	O	O
⑤	⑤	S	O	O

辅	fu	B	O	O
助	zhu	E	O	O
检	jian	B	O	O
查	cha	E	O	O
：	：	S	O	O
缺	que	B	O	O
如	ru	E	O	O
。	。	S	O	O

1	1	S	O	O
.	.	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
，	，	S	O	O
女	nv	B	O	O
性	xing	E	O	O
，	，	S	O	O
3	3	B	O	O
9	9	E	O	O
岁	sui	S	O	O
。	。	S	O	O
2	2	S	O	O
.	.	S	O	O
既	ji	B	O	O
往	wang	E	O	O
体	ti	B	O	O
健	jian	E	O	O
。	。	S	O	O
3	3	S	O	O
.	.	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
缘	yuan	B	O	O
于	yu	E	O	O
3	3	B	O	O
0	0	E	O	O
分	fen	B	O	O
钟	zhong	E	O	O
前	qian	S	O	O
与	yu	S	O	O
人	ren	S	O	O
发	fa	B	O	O
生	sheng	I	O	O
争	zheng	I	O	O
执	zhi	E	O	O
，	，	S	O	O
被	bei	S	O	O
他	ta	B	O	O
人	ren	E	O	O
用	yong	S	O	O
拳	quan	B	O	O
头	tou	E	O	O
击	ji	B	O	O
打	da	E	O	O
头	tou	S	O	O
面	mian	B	O	O
部	bu	E	O	O
。	。	S	O	O
伤	shang	B	O	O
后	hou	E	O	O
头	tou	B	O	O
痛	tong	E	O	O
、	、	S	O	O
头	tou	B	O	SB
晕	yun	E	O	SE
。	。	S	O	O
恶	e	B	SB	SB
心	xin	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
呕	ou	B	SB	SB
吐	tu	E	SE	SE
。	。	S	O	O
无	wu	S	O	O
昏	hun	B	O	O
迷	mi	E	O	O
及	ji	S	O	O
意	yi	B	O	O
识	shi	E	O	O
异	yi	B	O	O
常	chang	E	O	O
，	，	S	O	O
当	dang	B	O	O
时	shi	E	O	O
未	wei	B	O	O
予	yu	E	O	O
处	chu	B	O	O
理	li	E	O	O
，	，	S	O	O
自	zi	B	O	O
行	xing	E	O	O
来	lai	B	O	O
到	dao	E	O	O
我	wo	B	O	O
院	yuan	E	O	O
，	，	S	O	O
急	ji	B	O	O
诊	zhen	E	O	O
行	xing	S	O	O
C	C	B	O	O
T	T	E	O	O
示	shi	S	O	O
：	：	S	O	O
头	tou	B	O	O
颅	lu	E	O	O
C	C	B	O	O
T	T	E	O	O
平	ping	B	O	O
扫	sao	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
；	；	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
C	C	B	O	O
T	T	E	O	O
平	ping	B	O	O
扫	sao	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
；	；	S	O	O
肝	gan	B	O	O
胆	dan	E	O	O
脾	pi	S	O	O
胰	yi	B	O	O
及	ji	E	O	O
双	shuang	S	O	O
肾	shen	S	O	O
C	C	B	O	O
T	T	E	O	O
平	ping	B	O	O
扫	sao	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
；	；	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肋	lei	B	O	O
骨	gu	E	O	O
C	C	B	O	O
T	T	E	O	O
平	ping	B	O	O
扫	sao	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
生	sheng	B	O	O
命	ming	E	O	O
体	ti	B	O	O
征	zheng	E	O	O
平	ping	B	O	O
稳	wen	E	O	O
，	，	S	O	O
为	wei	S	O	O
进	jin	B	O	O
一	yi	I	O	O
步	bu	E	O	O
治	zhi	B	O	O
疗	liao	E	O	O
急	ji	B	O	O
诊	zhen	E	O	O
以	yi	S	O	O
全	quan	B	DB	DB
身	shen	E	DI	DI
多	duo	B	DI	DI
处	chu	E	DI	DI
软	ruan	B	DI	DI
组	zu	I	DI	DI
织	zhi	E	DI	DI
损	sun	B	DI	DI
伤	shang	E	DE	DE
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O
4	4	S	O	O
.	.	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
T	T	S	O	O
：	：	S	O	O
3	3	B	O	O
6	6	I	O	O
.	.	I	O	O
7	7	E	O	O
℃	℃	S	O	O
，	，	S	O	O
P	P	S	O	O
：	：	S	O	O
8	8	B	O	O
8	8	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
R	R	S	O	O
：	：	S	O	O
2	2	B	O	O
0	0	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
B	B	B	O	O
P	P	E	O	O
：	：	S	O	O
1	1	B	O	O
4	4	I	O	O
0	0	E	O	O
/	/	S	O	O
7	7	B	O	O
6	6	I	O	O
m	m	I	O	O
m	m	I	O	O
H	H	I	O	O
g	g	E	O	O
，	，	S	O	O
神	shen	B	O	O
清	qing	E	O	O
，	，	S	O	O
步	bu	B	O	O
入	ru	E	O	O
病	bing	B	O	O
室	shi	E	O	O
。	。	S	O	O
胸	xiong	B	O	O
廓	kuo	E	O	O
两	liang	B	O	O
侧	ce	E	O	O
对	dui	B	O	O
称	cheng	E	O	O
，	，	S	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
。	。	S	O	O
两	liang	B	O	O
侧	ce	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
动	dong	B	O	O
度	du	E	O	O
一	yi	B	O	O
致	zhi	E	O	O
，	，	S	O	O
触	chu	B	O	O
觉	jue	E	O	O
语	yu	B	O	O
颤	zhan	E	O	O
无	wu	S	O	O
明	ming	B	O	O
显	xian	I	O	O
增	zeng	I	O	O
强	qiang	E	O	O
或	huo	S	O	O
减	jian	B	O	O
弱	ruo	E	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
胸	xiong	B	O	O
膜	mo	E	O	O
摩	mo	B	O	O
擦	ca	E	O	O
感	gan	S	O	O
。	。	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
叩	kou	S	O	O
清	qing	B	O	O
音	yin	E	O	O
，	，	S	O	O
肺	fei	B	O	O
肝	gan	E	O	O
相	xiang	B	O	O
对	dui	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
界	jie	S	O	O
位	wei	B	O	O
于	yu	E	O	O
右	you	S	O	O
锁	suo	B	O	O
骨	gu	E	O	O
中	zhong	B	O	O
线	xian	E	O	O
第	di	S	O	O
Ⅴ	Ⅴ	S	O	O
肋	lei	B	O	O
间	jian	E	O	O
。	。	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	B	O	O
清	qing	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	S	O	O
、	、	S	O	O
湿	shi	B	O	O
性	xing	E	O	O
啰	luo	S	O	O
音	yin	S	O	O
。	。	S	O	O
心	xin	B	O	O
脏	zang	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O
腹	fu	S	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
肠	chang	B	O	O
型	xing	E	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
。	。	S	O	O
腹	fu	B	O	O
软	ruan	E	O	O
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
、	、	S	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
，	，	S	O	O
肝	gan	B	O	O
脾	pi	I	O	O
均	jun	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
，	，	S	O	O
双	shuang	S	O	O
肾	shen	B	O	O
区	qu	E	O	O
无	wu	S	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
，	，	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
5	5	S	O	O
.	.	S	O	O
专	zhuan	B	O	O
科	ke	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
：	：	S	O	O
头	tou	B	O	O
颅	lu	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
。	。	S	O	O
头	tou	B	O	O
顶	ding	I	O	O
部	bu	E	O	O
广	guang	B	O	O
泛	fan	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
瞳	tong	B	O	O
孔	kong	E	O	O
正	zheng	B	O	O
大	da	E	O	O
等	deng	S	O	O
圆	yuan	S	O	O
，	，	S	O	O
对	dui	S	O	O
光	guang	B	O	O
反	fan	I	O	O
射	she	E	O	O
灵	ling	B	O	O
敏	min	E	O	O
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
眼	yan	B	O	O
眶	kuang	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
不	bu	S	O	O
明	ming	B	O	O
显	xian	E	O	O
。	。	S	O	O
右	you	S	O	O
眼	yan	B	O	O
睑	jian	E	O	O
周	zhou	B	O	O
围	wei	E	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
青	qing	B	O	O
紫	zi	E	O	O
，	，	S	O	O
鼻	bi	S	O	O
根	gen	B	O	O
部	bu	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
。	。	S	O	O
6	6	S	O	O
辅	fu	B	O	O
助	zhu	E	O	O
检	jian	B	O	O
查	cha	E	O	O
：	：	S	O	O
本	ben	B	O	O
院	yuan	E	O	O
C	C	B	O	O
T	T	E	O	O
示	shi	S	O	O
：	：	S	O	O
头	tou	B	O	O
颅	lu	E	O	O
C	C	B	O	O
T	T	E	O	O
平	ping	B	O	O
扫	sao	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
；	；	S	O	O

1	1	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
男	nan	S	O	O
4	4	B	O	O
5	5	E	O	O
岁	sui	S	O	O
2	2	S	O	O
既	ji	B	O	O
往	wang	E	O	O
体	ti	B	O	O
健	jian	E	O	O
3	3	S	O	O

缘	yuan	B	O	O
于	yu	E	O	O
3	3	S	O	O
天	tian	B	O	O
前	qian	E	O	O
患	huan	B	O	O
者	zhe	E	O	O
乘	cheng	S	O	O
摩	mo	B	O	O
托	tuo	I	O	O
车	che	E	O	O
不	bu	B	O	O
慎	shen	E	O	O
摔	shuai	B	O	O
倒	dao	E	O	O
在	zai	S	O	O
地	di	S	O	O
，	，	S	O	O
伤	shang	B	O	O
及	ji	E	O	O
右	you	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
，	，	S	O	O
伴	ban	S	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
。	。	S	O	O
无	wu	B	O	O
意	yi	I	O	O
识	shi	E	O	O
异	yi	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
恶	e	B	SB	SB
心	xin	E	SE	SE
、	、	S	O	O
呕	ou	B	SB	SB
吐	tu	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
憋	bie	B	SB	SB
气	qi	E	SE	SE
、	、	S	O	O
咳	ke	B	SB	SB
嗽	sou	E	SE	SE
。	。	S	O	O
略	lve	S	O	O
胸	xiong	B	SB	SB
闷	men	E	SE	SE
，	，	S	O	O
未	wei	B	O	O
排	pai	E	O	O
大	da	B	O	O
便	bian	E	O	O
，	，	S	O	O
小	xiao	B	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
于	yu	S	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
中	zhong	B	O	O
心	xin	I	O	O
医	yi	I	O	O
院	yuan	E	O	O
就	jiu	B	O	O
诊	zhen	E	O	O
，	，	S	O	O
行	xing	S	O	O
C	C	B	O	O
T	T	E	O	O
检	jian	B	O	O
查	cha	E	O	O
：	：	S	O	O
1	1	S	O	O
.	.	S	O	O
考	kao	B	O	O
虑	lv	E	O	O
右	you	B	DB	O
肺	fei	E	DI	O
挫	cuo	B	DI	O
伤	shang	E	DE	O
。	。	S	O	O
2	2	S	O	O
.	.	S	O	O
左	zuo	B	DB	O
肺	fei	E	DI	O
索	suo	B	DI	O
条	tiao	E	DE	O
3	3	S	O	O
.	.	S	O	O
左	zuo	B	DB	O
肺	fei	E	DI	O
上	shang	S	DI	O
叶	ye	B	DI	O
近	jin	E	DI	O
纵	zong	B	DI	O
隔	ge	E	DI	O
旁	pang	S	DI	O
透	tou	B	DI	O
明	ming	E	DI	O
影	ying	S	DE	O
4	4	S	O	O
.	.	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
液	ye	S	DI	O
气	qi	B	DI	O
胸	xiong	E	DE	O
5	5	S	O	O
.	.	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
多	duo	B	DI	O
发	fa	E	DI	O
肋	lei	B	DI	O
骨	gu	E	DI	O
骨	gu	B	DI	O
折	zhe	E	DE	O
，	，	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
胸	xiong	S	DI	O
背	bei	B	DI	O
部	bu	E	DI	O
皮	pi	B	DI	O
下	xia	E	DI	O
气	qi	B	DI	O
肿	zhong	E	DE	O
6	6	S	O	O
.	.	S	O	O
考	kao	B	O	O
虑	lv	E	O	O
脂	zhi	B	DB	DB
肪	fang	I	DI	DI
肝	gan	E	DE	DE
7	7	S	O	O
.	.	S	O	O
副	fu	S	DB	O
脾	pi	S	DE	O
9	9	S	O	O
.	.	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
内	nei	B	O	O
见	jian	E	O	O
多	duo	B	O	O
发	fa	E	O	O
小	xiao	B	O	O
叶	ye	E	O	O
中	zhong	B	O	O
心	xin	E	O	O
结	jie	B	O	O
节	jie	E	O	O
2	2	S	O	O
.	.	S	O	O
心	xin	B	O	O
脏	zang	E	O	O
略	lve	B	O	O
大	da	E	O	O
，	，	S	O	O
冠	guan	B	DB	O
状	zhuang	I	DI	O
动	dong	I	DI	O
脉	mai	E	DI	O
见	jian	S	DI	O
钙	gai	B	DI	O
化	hua	E	DE	O
。	。	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
x	x	S	O	O
片	pian	B	O	O
示	shi	E	O	O
：	：	S	O	O
1	1	S	O	O
.	.	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
液	ye	S	DI	O
气	qi	B	DI	O
胸	xiong	E	DE	O
2	2	S	O	O
.	.	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
第	di	S	DI	O
9	9	S	DI	O
肋	lei	B	DI	O
骨	gu	E	DI	O
骨	gu	B	DI	O
折	zhe	E	DE	O
，	，	S	O	O
第	di	S	O	O
1	1	B	O	O
0	0	E	O	O
肋	lei	B	O	O
骨	gu	E	O	O
疑	yi	B	O	O
似	si	E	O	O
骨	gu	B	SB	O
折	zhe	E	SE	O
3	3	S	O	O
.	.	S	O	O
皮	pi	B	DB	O
下	xia	E	DI	O
气	qi	B	DI	O
肿	zhong	E	DE	O
。	。	S	O	O
给	gei	B	O	O
予	yu	E	O	O
口	kou	B	O	O
服	fu	I	O	O
药	yao	I	O	O
物	wu	E	O	O
对	dui	B	O	O
症	zheng	E	O	O
治	zhi	B	O	O
疗	liao	E	O	O
。	。	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
生	sheng	B	O	O
命	ming	E	O	O
体	ti	B	O	O
征	zheng	E	O	O
平	ping	B	O	O
稳	wen	E	O	O
。	。	S	O	O
今	jin	B	O	O
日	ri	E	O	O
来	lai	S	O	O
我	wo	B	O	O
院	yuan	E	O	O
就	jiu	B	O	O
诊	zhen	E	O	O
，	，	S	O	O
为	wei	S	O	O
进	jin	B	O	O
一	yi	I	O	O
步	bu	E	O	O
治	zhi	B	O	O
疗	liao	E	O	O
，	，	S	O	O
急	ji	B	O	O
诊	zhen	E	O	O
以	yi	S	O	O
肋	lei	B	DB	DB
骨	gu	E	DI	DI
骨	gu	B	DI	DI
折	zhe	E	DI	DE
合	he	B	DI	O
并	bing	E	DI	O
液	ye	S	DI	O
气	qi	B	DI	O
胸	xiong	E	DE	O
介	jie	B	O	O
绍	shao	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O
4	4	S	O	O
.	.	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
T	T	S	O	O
：	：	S	O	O
3	3	B	O	O
5	5	I	O	O
.	.	I	O	O
6	6	E	O	O
C	C	S	O	O
，	，	S	O	O
P	P	S	O	O
:	:	S	O	O
7	7	B	O	O
4	4	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
R	R	S	O	O
：	：	S	O	O
2	2	B	O	O
0	0	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
B	B	B	O	O
p	p	E	O	O
：	：	S	O	O
1	1	B	O	O
3	3	I	O	O
0	0	E	O	O
/	/	S	O	O
8	8	B	O	O
0	0	I	O	O
m	m	I	O	O
m	m	I	O	O
H	H	I	O	O
g	g	E	O	O
。	。	S	O	O
发	fa	B	O	O
育	yu	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
营	ying	B	O	O
养	yang	E	O	O
中	zhong	B	O	O
等	deng	E	O	O
，	，	S	O	O
神	shen	B	O	O
志	zhi	E	O	O
清	qing	B	O	O
楚	chu	E	O	O
，	，	S	O	O
步	bu	B	O	O
入	ru	E	O	O
病	bing	B	O	O
室	shi	E	O	O
，	，	S	O	O
查	cha	B	O	O
体	ti	E	O	O
合	he	B	O	O
作	zuo	E	O	O
。	。	S	O	O
结	jie	B	O	O
膜	mo	E	O	O
无	wu	S	O	O
苍	cang	B	O	SB
白	bai	E	O	SE
，	，	S	O	O
巩	gong	B	O	O
膜	mo	E	O	O
无	wu	S	O	O
黄	huang	B	SB	SB
染	ran	E	SE	SE
。	。	S	O	O
颈	jing	B	O	O
软	ruan	E	O	O
，	，	S	O	O
无	wu	S	O	O
抵	di	B	O	O
抗	kang	E	O	O
。	。	S	O	O
气	qi	B	O	O
管	guan	E	O	O
居	ju	B	O	O
中	zhong	E	O	O
，	，	S	O	O
甲	jia	B	O	O
状	zhuang	I	O	O
腺	xian	E	O	O
无	wu	S	O	O
肿	zhong	B	SB	SB
大	da	E	SE	SE
。	。	S	O	O
心	xin	B	O	O
前	qian	E	O	O
区	qu	S	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
震	zhen	B	O	O
颤	zhan	E	O	O
，	，	S	O	O
叩	kou	B	O	O
心	xin	I	O	O
界	jie	E	O	O
不	bu	B	O	O
大	da	E	O	O
，	，	S	O	O
心	xin	B	O	O
率	lv	E	O	O
7	7	B	O	O
4	4	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
杂	za	B	O	O
音	yin	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
胃	wei	B	O	O
肠	chang	E	O	O
型	xing	S	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	O	O
壁	bi	E	O	O
静	jing	B	SB	SB
脉	mai	I	SI	SI
曲	qu	I	SI	SI
张	zhang	E	SE	SE
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
包	bao	B	SB	O
块	kuai	E	SE	O
。	。	S	O	O
叩	kou	B	O	O
鼓	gu	I	O	O
音	yin	E	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
亢	kang	B	O	O
进	jin	E	O	O
（	（	S	O	O
4	4	S	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
）	）	S	O	O
。	。	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
四	si	B	O	O
肢	zhi	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
活	huo	B	O	O
动	dong	E	O	O
自	zi	B	O	O
如	ru	E	O	O
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肱	gong	S	O	O
二	er	B	O	O
三	san	E	O	O
头	tou	S	O	O
肌	ji	B	O	O
及	ji	E	O	O
跟	gen	S	O	O
膝	xi	B	O	O
腱	jian	E	O	O
反	fan	B	O	O
射	she	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
存	cun	B	O	O
在	zai	E	O	O
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
B	B	B	O	O
a	a	I	O	O
b	b	I	O	O
i	i	I	O	O
n	n	I	O	O
s	s	I	O	O
k	k	I	O	O
i	i	E	O	O
征	zheng	B	O	O
及	ji	E	O	O
克	ke	S	O	O
氏	shi	B	O	O
症	zheng	E	O	O
均	jun	S	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
5	5	S	O	O

专	zhuan	B	O	O
科	ke	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
：	：	S	O	O
胸	xiong	B	O	O
廓	kuo	E	O	O
对	dui	B	O	O
称	cheng	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
呼	hu	B	O	O
吸	xi	E	O	O
动	dong	B	O	O
度	du	E	O	O
两	liang	B	O	O
侧	ce	E	O	O
不	bu	S	O	O
一	yi	B	O	O
致	zhi	E	O	O
，	，	S	O	O
右	you	B	O	O
侧	ce	E	O	O
减	jian	B	O	O
弱	ruo	E	O	O
，	，	S	O	O
右	you	B	O	O
侧	ce	E	O	O
语	yu	B	O	O
颤	zhan	E	O	O
减	jian	B	O	O
弱	ruo	E	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
皮	pi	B	O	O
下	xia	E	O	O
捻	nian	S	O	O
发	fa	B	O	O
音	yin	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
叩	kou	B	O	O
音	yin	E	O	O
清	qing	S	O	O
，	，	S	O	O
肺	fei	B	O	O
肝	gan	E	O	O
相	xiang	B	O	O
对	dui	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
界	jie	S	O	O
位	wei	B	O	O
于	yu	E	O	O
右	you	B	O	O
侧	ce	E	O	O
锁	suo	B	O	O
骨	gu	E	O	O
中	zhong	B	O	O
线	xian	E	O	O
第	di	S	O	O
5	5	S	O	O
肋	lei	B	O	O
间	jian	E	O	O
。	。	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	B	O	O
清	qing	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	B	O	O
罗	luo	I	O	O
音	yin	E	O	O
。	。	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
红	hong	B	SB	SB
肿	zhong	E	SE	SE
，	，	S	O	O
胸	xiong	B	O	O
廓	kuo	E	O	O
挤	ji	B	O	O
压	ya	E	O	O
试	shi	B	O	O
验	yan	E	O	O
阳	yang	B	O	O
性	xing	E	O	O
。	。	S	O	O
6	6	S	O	O

辅	fu	B	O	O
助	zhu	E	O	O
检	jian	B	O	O
查	cha	E	O	O
：	：	S	O	O
C	C	B	O	O
T	T	E	O	O
检	jian	B	O	O
查	cha	E	O	O
：	：	S	O	O
1	1	S	O	O
.	.	S	O	O
考	kao	B	O	O
虑	lv	E	O	O
右	you	B	DB	O
肺	fei	E	DI	O
挫	cuo	B	DI	O
伤	shang	E	DE	O
。	。	S	O	O
2	2	S	O	O
.	.	S	O	O
左	zuo	B	DB	O
肺	fei	E	DI	O
索	suo	B	DI	O
条	tiao	E	DE	O
3	3	S	O	O
.	.	S	O	O
左	zuo	B	DB	O
肺	fei	E	DI	O
上	shang	S	DI	O
叶	ye	B	DI	O
近	jin	E	DI	O
纵	zong	B	DI	O
隔	ge	E	DI	O
旁	pang	S	DI	O
透	tou	B	DI	O
明	ming	E	DI	O
影	ying	S	DE	O
4	4	S	O	O
.	.	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
液	ye	S	DI	O
气	qi	B	DI	O
胸	xiong	E	DE	O
5	5	S	O	O
.	.	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
多	duo	B	DI	O
发	fa	E	DI	O
肋	lei	B	DI	O
骨	gu	E	DI	O
骨	gu	B	DI	O
折	zhe	E	DE	O
，	，	S	O	O
右	you	B	DB	O
侧	ce	E	DI	O
胸	xiong	S	DI	O
背	bei	B	DI	O
部	bu	E	DI	O
皮	pi	B	DI	O
下	xia	E	DI	O
气	qi	B	DI	O
肿	zhong	E	DE	O
6	6	S	O	O
.	.	S	O	O
考	kao	B	O	O
虑	lv	E	O	O
脂	zhi	B	DB	DB
肪	fang	I	DI	DI
肝	gan	E	DE	DE
7	7	S	O	O
.	.	S	O	O
副	fu	S	DB	O
脾	pi	S	DE	O
9	9	S	O	O
.	.	S	O	O
双	shuang	B	DB	O
肺	fei	E	DI	O
内	nei	B	DI	O
见	jian	E	DI	O
多	duo	B	DI	O
发	fa	E	DI	O
小	xiao	B	DI	O
叶	ye	E	DI	O
中	zhong	B	DI	O
心	xin	E	DI	O
结	jie	B	DI	O
节	jie	E	DE	O
2	2	S	O	O
.	.	S	O	O
心	xin	B	O	O
脏	zang	E	O	O
略	lve	B	O	O
大	da	E	O	O
，	，	S	O	O
冠	guan	B	O	O
状	zhuang	I	O	O
动	dong	I	O	O
脉	mai	E	O	O
见	jian	S	O	O
钙	gai	B	O	O
化	hua	E	O	O
。	。	S	O	O
胸	xiong	S	O	O
x	x	S	O	O
片	pian	B	O	O
